Lap Details,Laptop state,Laptop price
"Excellent HP 15.6"" Touch Screen Laptop 750GB HD 6GB RAM Intel I3 Webcam HDMI DVD",Pre-owned,£215.03
HP ProBook 4535s AMD E2-3000M 1.80GHz Radeon HD 6380G 8GB RAM Webcam Finger,Parts only,£29.99
Lenovo ThinkPad X1 Carbon G10 21CB009TGE UHD+ i7-1255U LTE 512GB SSD 16GB Memory Ov,New (other),"£1,111.29"
New listingLenovo YOGA 7 14IML9 COREULT7 16GB - 1000GB (83DJ0025GE),Brand new,"£1,249.88"
HP Probook 645 G2 14/8gb/256ssd/a8-8600b,Pre-owned,£102.66
"Microsoft Surface Pro 4, Acessories, Original Box (Read Description)",Pre-owned,£128.24
Dell Latitude E5270 i5-6300U 8GB DDR4 240GB SSD 1920x1080 Windows 10 Pro Touch,Very Good - Refurbished,£298.57 to £315.68
"2023 Acer Aspire 3 Laptop 15.6"" FHD Intel Core i3-1115G4 UP to 20GB RAM 1TB SSD",New (other),£260.02
HP ProBook 640 G1 /INTEL CORE I5-4210M CPU /128GB SSD /WIN 10/ USED/#A172,Pre-owned,£84.69
"HP EliteBook 725 G3 12.5"" AMD Pro A10-8700B R6 / 4GB RM / 128GB SSD#S256",Pre-owned,£67.58
HP 14 Inch Laptop Intel Quad-Core 16GB RAM 64GB eMMC Rose Gold Excellent,New (other),£200.01
New listingDell Latitude D620 C2D T5500 1.66GHz 2GB 80GB Scratch (Battery Faulty),Pre-owned,£81.27
USED ASUS L510M LAPTOP WINDOW 11 4GB RAM 128GB SSD INTEL 1.10GHZ (QUC020093),Pre-owned,£130.02
TurboX X76TUN NoteBook Russian Computer Intel Pentium Dual Core 2.2 Ghz 4 GB Ram,Parts only,£46.00
"HP 255 G9 Windows 11 AMD 3020e 1.2GHz 4GB RAM 256GB SSD 15.6"" Laptop",Pre-owned,£153.01
"Hp Pavilion 17"" Touch Laptop AMD A10-8700P R6 8gb Ram 1 TB HDD Win 10 Home",Pre-owned,£100.01
"New listing""Lenovo IdeaPad Duet 3 - Intel® N - 29.2cm (11.5"") - 2000 x 1200 Pixel - 4GB - ",Brand new,£469.90
Acer Chromebook R751T N16Q14 Celeron N3350 1366x768 Class A Touch,Very Good - Refurbished,£62.55
"Dell Inspiron 15 3542 15.6""  i5-4210u 1.7GHz 500GB HDD, 4GB RAM, WIN 10 ",Pre-owned,£80.01
HP Pavilion AMD Ryzen 7 5700U 4.2GHz 16GB DDR4 AMD Radeon Graphics 55T00EA,Pre-owned,£367.86
New listingLenovo Thinkpad T590 Core I7-8665u 1.9Ghz 24Gb 512GB 15.6Inch IPS W11,Good - Refurbished,£551.79
Dell LATITUDE 5420 Core i7 1185G7 16GB 512GB SSD NFC FHD SmartCard Win 11,New (other),£880.30
"HP Chromebook 11A G8 EE 11.6"" AMD A4-9120C 4GB 32GB Webcam - Cosmetic Discount!",Pre-owned,£60.00
Dell Latitude 7300 i5-8365U 16GB 480GB SSD Class A Touch Screen Windows 10 Home,Pre-owned,£237.74
"HP EliteBook i7-6500U 256GB SSD 8GB Laptop Win. 10 14"" USB-C School Notebook",Pre-owned,£213.87
Dell Latitude E5550 Intel i5-5300U 2.3Ghz 8GB RAM 250GB HDD Win 10 Pro,Pre-owned,£85.01
"Dell Inspiron 1545 15.6"" Laptop Intel ,4GB Ram ,120GB HD,DVD RW, Black Hat Linux",Pre-owned,£60.01
"Fujitsu Celsius h780, Intel i7 8850H, 32 GB Ram, NVidia P2000, FHD, PV, 512 GB",Pre-owned,£470.52
"DELL E7250 12.5"" CPU i7-5600U 4GB 128GB FULL HD WIN10 FHD SSD NOTEBOOK PC",Very Good - Refurbished,£145.35
"SGIN 14.1"""" 4GB DDR4 128GB FHD Laptop",Pre-owned,£116.66
"Lenovo ThinkPad E15 Laptop 15.6"" i5-10210U @1.60GHz 256GB SSD 8GB WIN10",Pre-owned,£400.05
HP PAVILION 15-AY105NL INTEL CORE I5-7200U 8GB MEMORY 1TB HD WIFI CAM NOTEBOOK,Very Good - Refurbished,£238.68
Dell Latitude 7280 i5-7300U 8/16GB 240/480GB SSD 1920x1080 Windows10 Touchscreen,Very Good - Refurbished,£322.52 to £469.67
HP Probook 5320m Intel Core I5 Azerty Computer ,Pre-owned,£88.98
New listingHP EliteBook 451V7EP - 14'' Notebook (451V7EP#ABE),Brand new,"£1,095.89"
*3 Years WW* Lenovo ThinkPad T420 i5-2520M 4GB 500GB DVD W10P uCam,Pre-owned,£100.09
*3 Years WW* HP EliteBook 8560P i7-2620M 8GB 240GB SSD W10H DRW 6470M HD+ Cam,Pre-owned,£194.20
"HP 15t-dw300 15.6"" FHD Laptop intel Core i5-1135G7 8GB 256GB SSD Win11 Black",Pre-owned,£350.04
Lenovo ThinkPad L470 i5-6300U 16GB 240GB 1366x768 A-Ware Windows 10 Professional,Very Good - Refurbished,£169.00
"Acer A314-31-C01R / 14"" / FHD IPS / N3450 Quad Core / 4GB / 128GB SSD / Win 10",Pre-owned,£67.58
Lenovo HP Dell Grade A Laptop Computer Set 12 - Store Market Reseller,Pre-owned,"£2,295.19"
"HP ENVY x360 15m-eu0013dx 15.6"" (512GB SSD, AMD Ryzen 5 5000 Series, 4.00)",Pre-owned,£320.04
"15.6"" Dell Touch Screen Laptop 1TB HD 6GB RAM i5 Webcam Bluetooth Lit-Keyboard",Pre-owned,£220.03
New listingLenovo Chromebook Yoga N23-ZA26 NON FUNCTIONAL 2.4gHz 32GB SSD 4GB RAM-LOT OF 13,Parts only,£325.04
Lenovo ThinkCentre M70C Core i5-10400 2.90 GHz 8 GB 256 GB SSD Windows 11 Pro,Pre-owned,£129.93
"Dell 15.6"" Touch Screen Laptop 500GB HD 8GB RAM Intel i3 Webcam HDMI Bluetooth",Pre-owned,£200.02
Dell Latitude 5490 I5 16GB RAM 256SSD Win10Pro,Pre-owned,£155.02
LENOVO ThinkPad X250 i5 2.3GHz 256 SSD 8GB MEMORY WIN 10 GOOD,Pre-owned,£136.02
"New listingHP Dragonfly 13.5 G4 Laptop 34.3 cm (13.5"") Touchscreen WUXGA+ Intel® Core™",Brand new,"£2,088.58"
HP EliteBook 820 G1 i7-4600U 8GB 240GB SSD 1366x768 Class A Windows 10 Home,Very Good - Refurbished,£142.39
Gateway NV 53 Laptop MS2285   Notebook                   PARTS,Parts only,£24.99
"New listingSamsung XE303 C12 Chromebook 11.6 1.7GHz, 2GB Ram, 16GB SSD",Pre-owned,£29.00
"Dell Latitude 7480 14"""" 1920x1080 Full HD Intel Core i5 256GB SSD 8GB Windows",Certified - Refurbished,£315.68
"Dell Latitude 14"" E7470 i7-6600, 8GB, 256GB SSD, WIN 10 Power Supply, Used. #03",Pre-owned,£171.10
"Dell Latitude 5580 15.5"" i5-6200U 8GB DDR4 Laptop (No HDD/OS/Adaptor)",Pre-owned,£130.02
" Microsoft Surface Laptop 1 / i5- 8GB, 256GB SSD - USED",Pre-owned,£199.02
ORIGINAL Samsung Sens Pro 525 680 850 R19 Power Supply,Brand new,£16.25
*3 Years WW* HP ProBook 640 G2 i5-6300U 16GB 480GB SSD DRW W10H FHD Cam,Pre-owned,£182.22
*3Y WW* Dell Latitude E5250 i3-5010U 8GB 500GB UBUNTU Cam,Pre-owned,£102.66
"Dell Inspiron 5000 14.1"" Laptop Intel Pentium III 600MHz",Pre-owned,£40.00
"Lenovo IdeaPad Flex 3 82KM0007GE 29.46cm (11.6"") Chromebook MT8183 4GB 64GB Memory",Pre-owned,£196.76
"Acer Chromebook -15.6"" Screen - Model-N15Q9 CB3-532-108H - 4GB Ram",Pre-owned,£50.01
"Excellent 15.6"" HP Laptop 500GB HD 4GB RAM Intel i3 7th Gen Bluetooth Webcam USB",Pre-owned,£210.02
"Dell Latituda E7470 i7-6600U 8GB 256GB SSD, 14"" FHD IPS 1920x1080 💎 010",Pre-owned,£178.90
"New listingLenovo ThinkPad T14s - 14"" Notebook - Core i7 1.7GHz 35.6cm",Brand new,"£1,968.38"
Louis Vuitton Windows Powered Handheld HC300HC PC Clavier Damier 25th Limited,Brand new,£866.24
Asus Laptop,Pre-owned,£150.02
"Acer Chromebook 15 CB515-1H 4GB/32GB Celeron N3350 2.4Ghz FHD 15.6"" USB-C",Pre-owned,£238.68
"HP EliteBook x360 830 G7 Intel i5 10310U 1.70GHz 16GB RAM 256GB SSD 13.3"" Win 11",Very Good - Refurbished,£358.84
Shop on eBay,Brand New,$20.00
Dell LATITUDE 5420 Core i7 1185G7 16GB 512GB SSD NFC FHD SmartCard Win 11,New (other),£880.30
"HP Chromebook 11A G8 EE 11.6"" AMD A4-9120C 4GB 32GB Webcam - Cosmetic Discount!",Pre-owned,£60.00
Dell Latitude 7280 i5-7300U 8/16GB 240/480GB SSD 1920x1080 Windows10 Touchscreen,Very Good - Refurbished,£322.52 to £469.67
"Acer Chromebook 15 CB515-1H 4GB/32GB Celeron N3350 2.4Ghz FHD 15.6"" USB-C",Pre-owned,£238.68
"Lenovo IdeaPad Flex 3 82KM0007GE 29.46cm (11.6"") Chromebook MT8183 4GB 64GB Memory",Pre-owned,£196.76
"HP EliteBook x360 830 G7 Intel i5 10310U 1.70GHz 16GB RAM 256GB SSD 13.3"" Win 11",Very Good - Refurbished,£358.84
"Acer Chromebook -15.6"" Screen - Model-N15Q9 CB3-532-108H - 4GB Ram",Pre-owned,£50.01
"Excellent 15.6"" HP Laptop 500GB HD 4GB RAM Intel i3 7th Gen Bluetooth Webcam USB",Pre-owned,£210.02
"Dell Latituda E7470 i7-6600U 8GB 256GB SSD, 14"" FHD IPS 1920x1080 💎 010",Pre-owned,£178.90
"New listingLenovo ThinkPad T14s - 14"" Notebook - Core i7 1.7GHz 35.6cm",Brand new,"£1,968.38"
Louis Vuitton Windows Powered Handheld HC300HC PC Clavier Damier 25th Limited,Brand new,£866.24
Asus Laptop,Pre-owned,£150.02
"New listingHP EliteBook 1040 14 G10 Laptop 35.6 cm (14"") WUXGA Intel® Core™ i7 i7-1365U",Brand new,"£2,181.68"
"Dell Inspiron 5447 15.6"" Intel Core i7-4510U 2.0GHz - 8GB RAM - 256GB SSD",Pre-owned,£220.03
Gateway NV53 Laptop,Parts only,£50.01
Dell LATITUDE E7470 Core i5 6300M 8GB 128GB SSD Windows 10 WebCam,Pre-owned,£255.79
"New listingASUS 17"""" Windows 10 Home Laptop",Pre-owned,£34.22
Dell Inspiron 7773 i7-8550U 1.8GHz 16GB RAM 256GB SSD MX150 Windows 10 Home,Pre-owned,£300.03
"14.1"" Laptop Portable BT Laptop 1920X1080 Resolution 6GB Memory 1TB SSD For EGG",Brand new,£213.21
ACER ES1-731 DAZYLBMB6E0 N3710 INTEL HD GEFORCE 910M 2GB MOTHERBOARD,Pre-owned,£82.72
Toshiba L300D Notebook - Untested - Faulty for Hobbyists!!!,Parts only,£17.10
"New listingMicrosoft Surface Laptop - 14.4"" Notebook - Core i7 36.6cm",Brand new,"£2,518.26"
"HP EliteBook i5-6300U 2.40GHz 256GB New SSD 8GB Laptop Windows 11 Pro 14"" USB-C",Pre-owned,£213.87
"16"" HP Envy 360 Touch Screen Laptop 1TB HD 12GB RAM Intel i5 Bluetooth Back Lit",Pre-owned,£285.03
"HP EliteBook Folio 1040 G3 Intel i5 6300U 2.40GHz 8GB RAM 256GB SSD 14"" Win 10",Very Good - Refurbished,£148.36
"Microsoft Surface Book, i5 Intel, 128 SSD, 8 GB Ram",Pre-owned,£175.02
HP 17.3 Inch Touchscreen Laptop AMD Ryzen 5 7530U 32GB RAM 1TB SSD,Pre-owned,£476.05
"Dell Latitude 7490 14"" Laptop Core i5-8250U 1.60GHz 8GB RAM 256GB SSD Win 11 Pro",Pre-owned,£170.02
Dell Latitude 5410 i5-10210U 16GB 512GB SSD Good Condition,Pre-owned,£339.63
"HP ProBook 470 G5 Intel i5 8250U 1.60GHz 8GB RAM 256GB SSD 17.3"" Win 11",Very Good - Refurbished,£281.84
"Dell Latitude 7490 i5-8350U 3.6Ghz 32GB 14"" 256GB SSD M.2 W10 Pro Notebook",Very Good - Refurbished,£255.79
"Dell Latitude 7490 i5-8350U 3.6GHz 16GB 14"" 1TB SSD M.2 W11 Pro Notebook",Very Good - Refurbished,£281.46
LENOVO L470 INTEL CORE I5-7200U 8GB 128GB SSD WIN 10 LAPTOP PC,Good - Refurbished,£162.46
LENOVO ThinkPad X250 i5 2.3GHz 256 SSD 8GB MEMORY WIN 10 GOOD.,Pre-owned,£136.02
Lenovo ThinkPad L470 i5-6300U 16GB 480GB SSD 1366x768 Class A,Very Good - Refurbished,£165.53
Lot of 3 Laptops Dell Sony Microsoft,Pre-owned,£145.02
15.6in Laptop For 11 1920x1080 Quad Core Quad Thread 2.4GHz 5GHz WIF ACM,Brand new,£229.24
New listingDELL PRECISION 7520 15.6 FHD I7-7820HQ 1TB SSD 16GB W11P Radeon Pro WX 4130,Pre-owned,£249.98
Dell Inspiron 14-3473 - Celeron N4000 - 4GB RAM - 500GB HDD - WIN 10,Pre-owned,£80.00
"Dell Latitude E5470 Laptop 14"" i5-6300U 2.40GHz 128GB SSD 8GB RAM Win10 (Z3E2) L",Pre-owned,£107.97
6400 2 Card 1GB DDR2 Memory,Pre-owned,£17.11
"New listingASUS Chromebook Flip 14"" C434TA Core m3 1.1GHz 4GB RAM 64GB SSD - Good",Pre-owned,£121.00
Dell Latitude 7390 i3-7130U 8GB 240GB 1920x1080 A-Ware Windows 10 Professional,Very Good - Refurbished,£163.31
"15.6"" Lenovo Slim Laptop 1TB HD 4GB RAM A6 Bluetooth Webcam HDMI Gift Quality",Pre-owned,£215.03
"Dell Latitude E4200 12"" Laptop Core 2 Duo U9400 3gb Ram No Drives Boots Bios",Pre-owned,£40.00
"New listingLenovo ThinkPad - 14"" Notebook - Core i5 1.3GHz 35.6cm",Brand new,"£1,028.86"
"New listingLenovo ThinkPad X1 Carbon - 14"" Notebook - Core i5 1.3GHz 35.6cm",Brand new,"£2,063.52"
"Razer Blade 15 15.6 inch (1TB, Intel Core i7 8th Gen., 2.20 GHz, 16GB) Laptop -",Brand new,"£2,000.24"
"Dell Latitude 5480 14"" Intel Core i5-6300U 2.4GHz 16GB 256GB windows 11pro🔥",Pre-owned,£190.02
"New listingSamsung XE303 C12 Chromebook 11.6 1.7GHz, 2GB Ram, 16GB SSD, working condition",Pre-owned,£29.00
"New listingDell Latitude 5490 14"" Intel Core i5-8350U 1.70GHz 8GB RAM 256GB SSD Win 10 Pro",Pre-owned,£175.02
Dell Latitude 3440 i5 / 8Gb Ram / 500Gb Hard Drive,Pre-owned,£117.34
"Dell Latitude E6520 15"" i5-2520M @ 2.50 GHz 4 GB RAM 320 GB HDD ",Pre-owned,£42.96
New listingEXTRA Computer go Business 1560 X12 i5-1235U 8GB 500GB SSD W11Pro - Notebook,Brand new,£855.49
"Excellent 15.6"" HP Laptop 250GB SSD 4GB RAM AMD A9 Radeon Bluetooth Webcam HDMI",Pre-owned,£215.03
Dell Latitude E7250 i5-5300U 8GB 240GB SSD 1366x768A-Ware Windows 10 Pro,Very Good - Refurbished,£134.79
Dell Latitude 3480 i5-6200U 8GB 240GB SSD 1366x768A-Ware Windows 10 Home,Very Good - Refurbished,£191.13
15.6in Laptop For 11 1920x1080 Quad Core Quad Thread 2.4GHz 5GHz WIF DCL,Brand new,£229.17
New listingDell Latitude 5400 14” I7-8665@1.9ghz 16gb Ram 256gb Ssd Win 11 Pro Touchscreen,Pre-owned,£165.02
"Panasonic Toughbook CF-53-MK1.14"",TOUCH,i5.8GB,500GB,Win10,DE Keyboard,A-WARE",Pre-owned,£406.36
HP 550 LAPTOP - CORE 2 DUO T5670 - 4GB RAM - No HDD - Charger Included,Parts only,£60.00
"Dell Latitude E5400 14"" Laptop Core 2 Duo P8700 4gb Ram No Drives Boots Bios",Pre-owned,£48.01
"New listingDell Inspiron 15 3535 Laptop 15.6""Touch FHD AMD Ryzen 5 7530U,32GB RAM,1TB  SSD",Pre-owned,£400.04
"Panasonic Toughbook CF-D1 MK2,Touch,i5-3340U,2.7GHz,16GB,512GB,Wifi,BT,A-WARE",Pre-owned,£466.24
"HP ProBook 450 G9 Intel Core i3-1215U 1.2GHz 15.6"" FHD 8GB 256GB SSD Win 11 Memory",New (other),£551.79
GATEWAY GWTN156-7BK (MP1037184),Parts only,£95.01
"Excellent 15.6"" Asus Laptop 500GB HD 6GB RAM Intel i3 Webcam Bluetooth DVD Excel",Pre-owned,£190.02
"Dalle 13.3"""" 13.3"""" Slim N133BGE-L41 LED Screen Display NEW in France",Brand new,£49.62
(PARTS ONLY) HP PAVILION zd8000 3.2Ghz Pentium 4 2.5GB RAM,Parts only,£50.00
"HP 11A G6 EE 11.6 inch (16GB, AMD A4 Dual-Core, 1.60GHz, 4GB) Chromebook - Gray",Pre-owned,£45.01
"10.1"""" Laptop LCD Display 64G ROM Dual Core 2.4GHz 2500mAh Laptop Compute EM9",Brand new,£156.84
Acer Chromebook 15 CB3-532 RAM-Intel Celeron Works Great,Pre-owned,£50.00
HP 2000-Core i3-M370-2.40ghz-4gb Ram-Win 7,Parts only,£40.00
"New listingLenovo ThinkPad X13 - 13.3"" Notebook - Core i5 1.3GHz 33.8cm",Brand new,"£1,611.60"
"HP Elitebook Folio 1040 G3 i5 6300u 2.40Ghz 8GB RAM 512GB SSD 14"" HD Win 10 - B ",Pre-owned,£251.04
 Lenovo X250 Core i5 5Gen. 5200U 4GB 120GB SSD NEW USB 3.0 Windows 10 ,Pre-owned,£255.79
Shop on eBay,Brand New,$20.00
HP ProBook mt20 Thin Client Celeron 3865U 8GB 128GB SSD Windows 10 FullHD,Pre-owned,£255.79
Lenovo IdeaPad 5 14ITL05 Core i5 1135G7 8GB 256GB SSD FullHD - Italian,New (other),£486.78
Microsoft Surface Book 2 i5-8350U 8GB Memory 256GB SSD Good Condition ,Good - Refurbished,£341.34
HP ProBook 640 G4 Core i5 7300U 8GB 500GB HDD WebCam Windows 10,Pre-owned,£332.79
"Dell Latitude 5480 14"" Intel Core i5-6300U 2.4GHz 16GB 256GB windows 11pro🔥",Pre-owned,£190.02
"Dell Latitude 7280 i5 7300U 2.6GHz 8GB 128GB SSD 12.5"" #S251",Pre-owned,£110.36
ACER ES1-731 DAZYLBMB6E0 N3710 INTEL HD GEFORCE 910M 2GB MOTHERBOARD,Pre-owned,£82.72
"New listingDell Latitude 5490 14"" Intel Core i5-8350U 1.70GHz 8GB RAM 256GB SSD Win 10 Pro",Pre-owned,£175.02
Dell Latitude 3440 i5 / 8Gb Ram / 500Gb Hard Drive,Pre-owned,£117.34
"Dell Latitude E6520 15"" i5-2520M @ 2.50 GHz 4 GB RAM 320 GB HDD ",Pre-owned,£42.96
New listingEXTRA Computer go Business 1560 X12 i5-1235U 8GB 500GB SSD W11Pro - Notebook,Brand new,£855.49
"Excellent 15.6"" HP Laptop 250GB SSD 4GB RAM AMD A9 Radeon Bluetooth Webcam HDMI",Pre-owned,£215.03
Dell Latitude E7250 i5-5300U 8GB 240GB SSD 1366x768A-Ware Windows 10 Pro,Very Good - Refurbished,£134.79
HP Elitebook 820 G1 i5-4200U 1.60GHz 4GB 180GB SSD #A69☆,Pre-owned,£71.01
"HP EliteBook 840 G5 i5-8 8GB 256GB SSD 14"" FHD Webcam Win 11 Pro Good      ",Pre-owned,£290.01
New listingHP EliteBook 840 G5 Laptop 14'' i5 32GB 256GB SSD Webcam Backlit FHD Sp3,Pre-owned,£199.82
Dell Latitude E5450 i5-5300U 500GB HDD 8GB RAM Backlit KB Win 10 SEE DESC (Z3E2),Pre-owned,£80.97
Dell Latitude 3480 i5-6200U 8GB 240GB SSD 1366x768A-Ware Windows 10 Home,Very Good - Refurbished,£191.13
HP Probook 430 G2 i3 4GB 320GB HDMI Win 10 Pro B WARE Ultrabook,Pre-owned,£238.67 to £418.33
15.6in Laptop For 11 1920x1080 Quad Core Quad Thread 2.4GHz 5GHz WIF DCL,Brand new,£229.17
New listingDell Latitude 5400 14” I7-8665@1.9ghz 16gb Ram 256gb Ssd Win 11 Pro Touchscreen,Pre-owned,£165.02
"Panasonic Toughbook CF-53-MK1.14"",TOUCH,i5.8GB,500GB,Win10,DE Keyboard,A-WARE",Pre-owned,£406.36
HP 550 LAPTOP - CORE 2 DUO T5670 - 4GB RAM - No HDD - Charger Included,Parts only,£60.00
"Dell Latitude E5400 14"" Laptop Core 2 Duo P8700 4gb Ram No Drives Boots Bios",Pre-owned,£48.01
"Panasonic Toughbook CF-D1 MK2,Touch,i5-3340U,2.7GHz,16GB,512GB,Wifi,BT,A-WARE",Pre-owned,£466.24
"HP ProBook 450 G9 Intel Core i3-1215U 1.2GHz 15.6"" FHD 8GB 256GB SSD Win 11 Memory",New (other),£551.79
GATEWAY GWTN156-7BK (MP1037184),Parts only,£95.01
New listingNOTEBOOK ACER TRAVELMATE427LC ,Parts only,£34.22
"HP 14"" (64GB SSD, Intel Celeron N, 1.1 GHz, 4GB) Laptop -",Brand new,£200.02
"Dell Latitude 7490 i5-8350U 3.6Ghz 16GB 14"" 256GB SSD M.2 W11 Pro Notebook",Very Good - Refurbished,£247.24
"Excellent 15.6"" Asus Laptop 500GB HD 6GB RAM Intel i3 Webcam Bluetooth DVD Excel",Pre-owned,£190.02
"Dalle 13.3"""" 13.3"""" Slim N133BGE-L41 LED Screen Display NEW in France",Brand new,£49.62
(PARTS ONLY) HP PAVILION zd8000 3.2Ghz Pentium 4 2.5GB RAM,Parts only,£50.00
"HP 11A G6 EE 11.6 inch (16GB, AMD A4 Dual-Core, 1.60GHz, 4GB) Chromebook - Gray",Pre-owned,£45.01
"10.1"""" Laptop LCD Display 64G ROM Dual Core 2.4GHz 2500mAh Laptop Compute EM9",Brand new,£156.84
Acer Chromebook 15 CB3-532 RAM-Intel Celeron Works Great,Pre-owned,£50.00
*3 Years WW* Lenovo ThinkPad T420 i5-2520M 8GB 500GB DVD W10P uCam,Pre-owned,£106.94
HP 2000-Core i3-M370-2.40ghz-4gb Ram-Win 7,Parts only,£40.00
"Dell Vostro 3560 i3-2370M 4GB 120GB SSD 15.6"" HD B-Grade Laptop",Pre-owned,£101.80
"Dell Latitude E7270 i5 6300U 8GB 256GB SSD 12.5"" HD Grade B Laptop",Pre-owned,£161.69
"New listingLenovo ThinkPad X13 - 13.3"" Notebook - Core i5 1.3GHz 33.8cm",Brand new,"£1,611.60"
"HP EliteBook Folio 1040 G2 14"" TOUCHSCREEN Laptop Intel Core i7, 128GB SSD, W11",Pre-owned,£199.02
"DELL 7490 i5-8350U, 4GB/256GB QWERTZ 14"" win10 ",Pre-owned,£141.16
"15.6"""" Laptop for Celeron N5095 Processor 1920x1080 16GB 512GB FAT",Brand new,£252.09
"DELL 5470 i5-6200U Notebook, NO MEMORY, NO SSD, USB3.0 FHD AMD GPU R7 M360",Pre-owned,£85.55
Dell Latitude E5570 15.6'' Laptop i5-6440HQ 8GB RAM 256GB SSD Win11 Backlit,Pre-owned,£149.97
ACER A315-41 BOTTOM CASE CASE AP28Z000400,Pre-owned,£16.84
Toshiba R63/F Laptop,Pre-owned,£258.48
"Acer Chromebook C738T 11.6"" (16GB SSD Intel Celeron N3150 1.6 GHz 4GB RAM)",Pre-owned,£65.01
"15.6"" HP Touch Screen Laptop 250GB SSD 6GB RAM Quad Core Bluetooth Webcam HDMI",Pre-owned,£230.03
"Acer Aspire 8930G, 6050A2207701-MB-A02 T5800 4GB Motherboard, Motherboard",Pre-owned,£115.49
"HP 14-fq0050nr 14"" (64GB, AMD 3020E, 2.60 GHz, 4GB) Laptop - Black - Parts only",Parts only,£75.01
"15.6"" Dell Laptop 250GB SSD 8GB RAM Intel i5 Bluetooth Webcam HDMI SD Excel",Pre-owned,£215.03
"New listingDell Inspiron 15 3535 Laptop 15.6""Touch FHD AMD Ryzen 5 7530U,32GB RAM,1TB  SSD",Pre-owned,£400.04
New listingDell Precision M3581 - Notebook - Core i7 (1VW5K),Brand new,"£2,057.46"
Acer Aspire 5349-2635 Celeron B815 1.6GHz 4GB RAM 320GB HDD Win 10 Pro,Pre-owned,£79.01
"Dell ChromeBook 3100 2-in-1 Intel Celeron N4000 1.1GHz 4GB RAM 32GB 11.6"" P29T",Parts only,£45.00
"New listingLenovo ThinkPad T14s - 14"" Notebook - Core i5 1.3GHz 35.6cm",Brand new,"£1,671.06"
"New listingHP Chromebook 14"" (64 GB eMMC, Intel Celeron, 2.6 GHz, 4 GB) Laptop - Modern...",Brand new,£33.24
"Lenovo Thinkpad T460, i5-6200u @2.3GHz, 12GB RAM, 500GB HDD, Webcam-Last One",Pre-owned,£130.01
"Dell Latitude E7270 12.5"" i5-6300U 8GB 240GB SSD 1920x1080 A-Ware",Very Good - Refurbished,£142.40
"New listingLenovo ThinkPad - 13.3"" Notebook - 2GHz 33.8cm",Brand new,"£1,135.89"
15.6in Laptop For 11 1920x1080 Quad Core Quad Thread 2.4GHz 5GHz WIF DSO,Brand new,£229.33
HP CQ57-404sl - Intel Celeron B815 - 2GB Memory - NO HDD,Parts only,£51.33
New listingDell Precision 7710 i5 2.30 GHz 16GB 256GB SSD 10P,Pre-owned,£239.72
New listingNETBOOK LG X110 ,Pre-owned,£59.88
"""HP Chromebook 14"" Laptop""",Pre-owned,£76.99
fujitsu foldable laptop,Pre-owned,£200.02
DELL Latitude E7470 Core i7-6300U 16gb DDR4 256 SSD W10,Pre-owned,£213.87
"Samsung Chromebook 11.6"" (32GB SSD, Intel Celeron Processor N4000, 1.10 GHz, 4GB",New (other),£80.01
LENOVO ThinkPad X250 i5 2.3GHz 256 SSD 8GB MEMORY WIN 10 GOOD,Pre-owned,£136.02
LENOVO L470 INTEL CORE I5-7200U 8GB 128GB SSD WIN 10 LAPTOP PC,Good - Refurbished,£162.46
"New listingSamsung XE303 C12 Chromebook 11.6 1.7GHz, 2GB Ram, 16GB SSD, working condition",Pre-owned,£29.00
6400 2 Card 1GB DDR2 Memory,Pre-owned,£17.11
New listingHP Chromebook 14A-NA0853ND Pentium Silver N5030 4GB 128GB QWERTY US 244L5EA#AB,Good - Refurbished,£149.07
"Microsoft Surface Laptop 3 Core i5 1035G7 8GB Memory 256B SSD Win10 13.5"" Black",New (other),£769.09
Shop on eBay,Brand New,$20.00
"Dell Vostro 3560 i3-2370M 4GB 120GB SSD 15.6"" HD B-Grade Laptop",Pre-owned,£101.80
"Dell Latitude E7270 i5 6300U 8GB 256GB SSD 12.5"" HD Grade B Laptop",Pre-owned,£161.69
New listingHP Chromebook 14A-NA0853ND Pentium Silver N5030 4GB 128GB QWERTY US 244L5EA#AB,Good - Refurbished,£149.07
"Microsoft Surface Laptop 3 Core i5 1035G7 8GB Memory 256B SSD Win10 13.5"" Black",New (other),£769.09
"Acer Chromebook 14 - 14"" Chromebook Intel Celeron 3855U@ 1.60 GHz 4 GB Ram 32 GB",Pre-owned,£55.01
New listingCHEAP Dell Win XP Laptop--20GB HD + RS232 / Serial + Parallel Port +Charger (D9),Pre-owned,£56.99
Dell Studio 1440/14z Defunct No Charging Cord For Parts,Parts only,£11.81
"New listingLenovo ThinkPad T16 - 16"" Notebook - Core i7 1.7GHz 40.6cm",Brand new,"£2,206.24"
"Acer Chromebook C738T-C44Z Laptop 11"" Intel Celeron READ DESCRIPTION - No Power ",Parts only,£30.00
"Dell Latitude 5420 14"" FHD 2.4 GHz i5-1135G7 16GB 512GB SSD - Excellent",Excellent - Refurbished,£360.03
Dell Latitude 5480 i5-6300U 8GB 240GB SSD 1366x768A-Ware,Very Good - Refurbished,£184.29
(READ DESCRIPTION) lenovo ideapad 1,Pre-owned,£465.05
*1Year WFL* Acer Aspire ES1-432 N3350 8GB 480GB SSD W10H HDTV Cam,Pre-owned,£114.64
"HP EliteBook 840 G5 i5-8 32GB 256G SSD 14"" FHD Webcam Win 11 Pro Good      ",Pre-owned,£315.68
